,FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0,0.006063000000000001,0.76393,0.038022,-0.16037,0.46366999999999997,0.036465,-0.18045,0.21188,0.031501,0.16050999999999999,0.46253999999999995,0.031766,0.18594000000000002,0.21241,0.031626999999999995,-0.20304,0.009023999999999999,-0.037557,0.19684000000000001,0.009888,-0.042268,-0.07169299999999999,-0.0009710000000000001,-0.033495,0.074941,-0.004176,-0.034776999999999995,-0.1256,-0.37842,-0.043425,0.11041,-0.4126,-0.015387,-0.13278,-0.72959,-0.037464,0.11102999999999999,-0.7397,-0.040704000000000004
1,1,0.006063000000000001,0.76393,0.038022,-0.16037,0.46366999999999997,0.036465,-0.18045,0.21188,0.031501,0.16050999999999999,0.46253999999999995,0.031766,0.18594000000000002,0.21241,0.031626999999999995,-0.20304,0.009023999999999999,-0.037557,0.19684000000000001,0.009888,-0.042268,-0.07169299999999999,-0.0009710000000000001,-0.033495,0.074941,-0.004176,-0.034776999999999995,-0.1256,-0.37842,-0.043425,0.11041,-0.4126,-0.015387,-0.13278,-0.72959,-0.037464,0.11102999999999999,-0.7397,-0.040704000000000004
2,2,0.006063000000000001,0.76393,0.038022,-0.16037,0.46366999999999997,0.036465,-0.18045,0.21188,0.031501,0.16050999999999999,0.46253999999999995,0.031766,0.18594000000000002,0.21241,0.031626999999999995,-0.20304,0.009023999999999999,-0.037557,0.19684000000000001,0.009888,-0.042268,-0.07169299999999999,-0.0009710000000000001,-0.033495,0.074941,-0.004176,-0.034776999999999995,-0.1256,-0.37842,-0.043425,0.11041,-0.4126,-0.015387,-0.13278,-0.72959,-0.037464,0.11102999999999999,-0.7397,-0.040704000000000004
3,3,0.006063000000000001,0.76393,0.038022,-0.16037,0.46366999999999997,0.036465,-0.18045,0.21188,0.031501,0.16050999999999999,0.46253999999999995,0.031766,0.18594000000000002,0.21241,0.031626999999999995,-0.20304,0.009023999999999999,-0.037557,0.19684000000000001,0.009888,-0.042268,-0.07169299999999999,-0.0009710000000000001,-0.033495,0.074941,-0.004176,-0.034776999999999995,-0.1256,-0.37842,-0.043425,0.11041,-0.4126,-0.015387,-0.13278,-0.72959,-0.037464,0.11102999999999999,-0.7397,-0.040704000000000004
4,4,0.005082,0.7640399999999999,0.037958,-0.16107,0.46398,0.036873,-0.18086,0.21195999999999998,0.031526,0.15746,0.46193,0.032882,0.1847,0.21222,0.031887,-0.20335,0.00932,-0.038281,0.19526,0.007896,-0.041379,-0.072115,-0.0007480000000000001,-0.033449,0.07421,-0.003889,-0.0343,-0.12652,-0.38177,-0.041815,0.10975,-0.41331,-0.014978,-0.13259,-0.72243,-0.035192,0.11027,-0.73964,-0.039001999999999995
5,5,0.005082,0.7640399999999999,0.037958,-0.16107,0.46398,0.036873,-0.18086,0.21195999999999998,0.031526,0.15746,0.46193,0.032882,0.1847,0.21222,0.031887,-0.20335,0.00932,-0.038281,0.19526,0.007896,-0.041379,-0.072115,-0.0007480000000000001,-0.033449,0.07421,-0.003889,-0.0343,-0.12652,-0.38177,-0.041815,0.10975,-0.41331,-0.014978,-0.13259,-0.72243,-0.035192,0.11027,-0.73964,-0.039001999999999995
6,6,0.005082,0.7640399999999999,0.037958,-0.16107,0.46398,0.036873,-0.18086,0.21195999999999998,0.031526,0.15746,0.46193,0.032882,0.1847,0.21222,0.031887,-0.20335,0.00932,-0.038281,0.19526,0.007896,-0.041379,-0.072115,-0.0007480000000000001,-0.033449,0.07421,-0.003889,-0.0343,-0.12652,-0.38177,-0.041815,0.10975,-0.41331,-0.014978,-0.13259,-0.72243,-0.035192,0.11027,-0.73964,-0.039001999999999995
7,7,0.005082,0.7640399999999999,0.037958,-0.16107,0.46398,0.036873,-0.18086,0.21195999999999998,0.031526,0.15746,0.46193,0.032882,0.1847,0.21222,0.031887,-0.20335,0.00932,-0.038281,0.19526,0.007896,-0.041379,-0.072115,-0.0007480000000000001,-0.033449,0.07421,-0.003889,-0.0343,-0.12652,-0.38177,-0.041815,0.10975,-0.41331,-0.014978,-0.13259,-0.72243,-0.035192,0.11027,-0.73964,-0.039001999999999995
8,8,0.003788,0.76405,0.037676,-0.16216,0.46316,0.036565,-0.18124,0.21191,0.031464,0.15771,0.46195,0.032962,0.18298,0.213,0.032157,-0.20285999999999998,0.009391,-0.039069,0.19695,0.0105,-0.041191000000000005,-0.072386,-0.000811,-0.033429,0.073863,-0.003704,-0.034311,-0.12709,-0.38401,-0.041280000000000004,0.10958,-0.41308999999999996,-0.014990999999999999,-0.13207,-0.72483,-0.036996,0.11034000000000001,-0.7376,-0.036996
9,9,0.003788,0.76405,0.037676,-0.16216,0.46316,0.036565,-0.18124,0.21191,0.031464,0.15771,0.46195,0.032962,0.18298,0.213,0.032157,-0.20285999999999998,0.009391,-0.039069,0.19695,0.0105,-0.041191000000000005,-0.072386,-0.000811,-0.033429,0.073863,-0.003704,-0.034311,-0.12709,-0.38401,-0.041280000000000004,0.10958,-0.41308999999999996,-0.014990999999999999,-0.13207,-0.72483,-0.036996,0.11034000000000001,-0.7376,-0.036996
10,10,0.003788,0.76405,0.037676,-0.16216,0.46316,0.036565,-0.18124,0.21191,0.031464,0.15771,0.46195,0.032962,0.18298,0.213,0.032157,-0.20285999999999998,0.009391,-0.039069,0.19695,0.0105,-0.041191000000000005,-0.072386,-0.000811,-0.033429,0.073863,-0.003704,-0.034311,-0.12709,-0.38401,-0.041280000000000004,0.10958,-0.41308999999999996,-0.014990999999999999,-0.13207,-0.72483,-0.036996,0.11034000000000001,-0.7376,-0.036996
11,11,0.003788,0.76405,0.037676,-0.16216,0.46316,0.036565,-0.18124,0.21191,0.031464,0.15771,0.46195,0.032962,0.18298,0.213,0.032157,-0.20285999999999998,0.009391,-0.039069,0.19695,0.0105,-0.041191000000000005,-0.072386,-0.000811,-0.033429,0.073863,-0.003704,-0.034311,-0.12709,-0.38401,-0.041280000000000004,0.10958,-0.41308999999999996,-0.014990999999999999,-0.13207,-0.72483,-0.036996,0.11034000000000001,-0.7376,-0.036996
12,12,0.003014,0.76417,0.037787,-0.16242,0.46329,0.036725,-0.18170999999999998,0.21206,0.03171,0.15602,0.46113000000000004,0.03358,0.18219000000000002,0.21281,0.032306,-0.20228,0.009715999999999999,-0.039772,0.19638,0.010003,-0.040032,-0.07284,-0.000584,-0.033295,0.073308,-0.003568,-0.034227,-0.12739,-0.38466,-0.040904,0.1091,-0.41189,-0.015059999999999999,-0.13248,-0.72453,-0.037422000000000004,0.11082,-0.7369899999999999,-0.036904
