,FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.0,-0.022417,0.71815,0.000811,-0.16745,0.5169600000000001,-0.017256,-0.23948000000000003,0.74521,-0.10271,0.12484,0.57533,-0.014883,0.17777,0.7931699999999999,-0.09689199999999999,-0.23444,0.99592,-0.17993,0.16321,1.0753,-0.14594000000000001,-0.061078999999999994,-0.002552,-0.03372,0.05959299999999999,0.00122,-0.032972,-0.11987,-0.36211,-0.051801,0.1158,-0.35615,-0.026439999999999998,-0.1685,-0.8630700000000001,-0.026909,0.17536,-0.85625,-0.007393
1,0.0,-0.022417,0.71815,0.000811,-0.16745,0.5169600000000001,-0.017256,-0.23948000000000003,0.74521,-0.10271,0.12484,0.57533,-0.014883,0.17777,0.7931699999999999,-0.09689199999999999,-0.23444,0.99592,-0.17993,0.16321,1.0753,-0.14594000000000001,-0.061078999999999994,-0.002552,-0.03372,0.05959299999999999,0.00122,-0.032972,-0.11987,-0.36211,-0.051801,0.1158,-0.35615,-0.026439999999999998,-0.1685,-0.8630700000000001,-0.026909,0.17536,-0.85625,-0.007393
2,0.0,-0.022417,0.71815,0.000811,-0.16745,0.5169600000000001,-0.017256,-0.23948000000000003,0.74521,-0.10271,0.12484,0.57533,-0.014883,0.17777,0.7931699999999999,-0.09689199999999999,-0.23444,0.99592,-0.17993,0.16321,1.0753,-0.14594000000000001,-0.061078999999999994,-0.002552,-0.03372,0.05959299999999999,0.00122,-0.032972,-0.11987,-0.36211,-0.051801,0.1158,-0.35615,-0.026439999999999998,-0.1685,-0.8630700000000001,-0.026909,0.17536,-0.85625,-0.007393
3,0.0,-0.022417,0.71815,0.000811,-0.16745,0.5169600000000001,-0.017256,-0.23948000000000003,0.74521,-0.10271,0.12484,0.57533,-0.014883,0.17777,0.7931699999999999,-0.09689199999999999,-0.23444,0.99592,-0.17993,0.16321,1.0753,-0.14594000000000001,-0.061078999999999994,-0.002552,-0.03372,0.05959299999999999,0.00122,-0.032972,-0.11987,-0.36211,-0.051801,0.1158,-0.35615,-0.026439999999999998,-0.1685,-0.8630700000000001,-0.026909,0.17536,-0.85625,-0.007393
4,1.0,-0.018838,0.72021,-0.0007469999999999999,-0.16567,0.5182399999999999,-0.017723,-0.23908000000000001,0.7469899999999999,-0.09658,0.12477,0.57644,-0.014434,0.17715,0.79711,-0.094791,-0.23031999999999997,1.0319,-0.18084,0.16497,1.0785,-0.14274,-0.060360000000000004,-0.001212,-0.032748,0.059879999999999996,0.002286,-0.033019,-0.11947,-0.36079,-0.051678999999999996,0.11613,-0.35509,-0.026437000000000002,-0.1684,-0.86164,-0.025626999999999997,0.1756,-0.85524,-0.007845
5,1.0,-0.018838,0.72021,-0.0007469999999999999,-0.16567,0.5182399999999999,-0.017723,-0.23908000000000001,0.7469899999999999,-0.09658,0.12477,0.57644,-0.014434,0.17715,0.79711,-0.094791,-0.23031999999999997,1.0319,-0.18084,0.16497,1.0785,-0.14274,-0.060360000000000004,-0.001212,-0.032748,0.059879999999999996,0.002286,-0.033019,-0.11947,-0.36079,-0.051678999999999996,0.11613,-0.35509,-0.026437000000000002,-0.1684,-0.86164,-0.025626999999999997,0.1756,-0.85524,-0.007845
6,1.0,-0.018838,0.72021,-0.0007469999999999999,-0.16567,0.5182399999999999,-0.017723,-0.23908000000000001,0.7469899999999999,-0.09658,0.12477,0.57644,-0.014434,0.17715,0.79711,-0.094791,-0.23031999999999997,1.0319,-0.18084,0.16497,1.0785,-0.14274,-0.060360000000000004,-0.001212,-0.032748,0.059879999999999996,0.002286,-0.033019,-0.11947,-0.36079,-0.051678999999999996,0.11613,-0.35509,-0.026437000000000002,-0.1684,-0.86164,-0.025626999999999997,0.1756,-0.85524,-0.007845
7,1.0,-0.018838,0.72021,-0.0007469999999999999,-0.16567,0.5182399999999999,-0.017723,-0.23908000000000001,0.7469899999999999,-0.09658,0.12477,0.57644,-0.014434,0.17715,0.79711,-0.094791,-0.23031999999999997,1.0319,-0.18084,0.16497,1.0785,-0.14274,-0.060360000000000004,-0.001212,-0.032748,0.059879999999999996,0.002286,-0.033019,-0.11947,-0.36079,-0.051678999999999996,0.11613,-0.35509,-0.026437000000000002,-0.1684,-0.86164,-0.025626999999999997,0.1756,-0.85524,-0.007845
8,2.0,-0.017616,0.7219300000000001,-0.001358,-0.16704000000000002,0.52158,-0.014719999999999999,-0.23906,0.74824,-0.093943,0.12478,0.57763,-0.014062,0.17707,0.80076,-0.09288400000000001,-0.23039,1.0326,-0.18023,0.16697,1.0827,-0.13768,-0.059692999999999996,0.000399,-0.031794,0.060648,0.004154,-0.033248,-0.11887,-0.35922,-0.051226,0.11634000000000001,-0.3533,-0.026325,-0.1681,-0.8600700000000001,-0.025497,0.17354,-0.85367,-0.006915
9,2.0,-0.017616,0.7219300000000001,-0.001358,-0.16704000000000002,0.52158,-0.014719999999999999,-0.23906,0.74824,-0.093943,0.12478,0.57763,-0.014062,0.17707,0.80076,-0.09288400000000001,-0.23039,1.0326,-0.18023,0.16697,1.0827,-0.13768,-0.059692999999999996,0.000399,-0.031794,0.060648,0.004154,-0.033248,-0.11887,-0.35922,-0.051226,0.11634000000000001,-0.3533,-0.026325,-0.1681,-0.8600700000000001,-0.025497,0.17354,-0.85367,-0.006915
