FrameNo,head_x,head_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y,start,end
0,189.43200913765335,1067.8380190634184,272.42601858468913,1110.4628232890066,268.4918184119176,982.966294691547,390.7982832929712,1154.0143167578412,382.2953912743666,955.1586907335628,321.656546698125,1143.8388895655626,478.8420684129891,948.4216963342672,483.2049999063439,1095.6537376476683,477.5257348208185,1003.8566294494226,657.6343252630941,1083.1653312301917,654.47291503182,997.099946167082,792.3100848253744,1080.6732565090117,786.0050029794943,997.45039839678,1,0
1,188.9503603514831,1068.0174704950405,274.1713232429812,1111.8532654750356,272.28907549799806,982.9386600267352,391.8663643984552,1153.5163546414344,380.1422252952665,956.5696441627967,322.7354284070713,1146.1577763722105,477.03415735490296,947.8720624196364,480.3001264415885,1096.4404420200997,480.9019439955216,1006.7775814328274,658.1813736854821,1084.3806062035487,653.2045456150883,1001.10772395642,790.9683589662469,1079.1644450796605,785.6981727639782,998.0031949505046,1,0
2,189.01455054512567,1068.2621638447288,272.14365861195733,1111.2428014616507,271.38795388845534,982.9075946569618,392.3152135841558,1154.2866410725612,380.8951511804707,956.6051196701644,320.8021150298794,1145.4813341845668,476.69914745385375,948.5903874606792,477.2215794338826,1095.53157158935,483.0674489173839,996.0629463055658,657.3366925620288,1085.7254274972304,656.1255915236255,996.6374010342522,789.4193108091118,1078.7065028093214,784.6227288587195,998.6099820553952,1,0
3,189.2880801137619,1068.0257976904763,272.106800749026,1111.7477006652966,271.9405003858945,983.35911108237,392.6648697276418,1153.5716428063006,380.4424664009997,956.6975421891505,321.4804248040922,1145.4523877796228,478.3308954325702,947.9790304549734,479.06800849229984,1095.4882310226856,479.9022908204553,1006.540586988686,658.6443263377572,1085.9782879427896,656.7871331734526,996.9220742051168,790.3686321541298,1078.6660954953993,785.2840588895799,997.8223029591423,1,0
4,189.3214047435666,1068.464793388148,271.92102474416026,1111.7833894145217,272.0973112121205,983.1034657116064,393.2679194932796,1153.7872989382663,380.2711159789205,957.4506155626464,297.60955691492603,1147.2106281087122,478.5287839445553,947.7367554159396,480.06325784988303,1095.6001238013612,480.4212032958032,1007.6834005542228,657.6894399496606,1086.2346956363765,654.466386653667,1000.4715730441484,790.6716089037832,1078.4491908559023,784.6069704447673,998.0754785586772,1,0
5,189.27770944503564,1068.498206436415,272.3203684852709,1111.807614227676,271.7589659684656,983.2252792818068,393.1626162882434,1153.868823923844,380.274504561108,957.3717476916962,322.8027922155333,1145.231615188453,478.5451120890008,948.1785764000506,478.8221206466615,1095.753203202135,480.0472444551664,1006.6826894789564,657.8440369803201,1086.0945182088367,654.3460263573456,1000.5035525958912,790.4113349864945,1078.8929801228992,784.6827265190054,998.0312867063008,1,0
6,189.248053323773,1068.4991455078125,272.587889682487,1112.3686165567883,271.61324069465866,983.3661103931796,392.62365760356766,1154.0367542409792,380.2955827477384,956.9755335575863,323.284073347233,1145.608809763329,478.60167395464,948.1801585604566,479.7071044683766,1094.595466070014,480.3895153645886,1006.5762649749151,658.4466581505824,1085.6529568820033,654.394797832355,1000.3745473263284,790.4771913446592,1079.4243922853716,784.6659771456674,998.4966786515618,1,0
7,189.2304742165753,1068.6477152132795,273.0501699757669,1112.2143559172082,271.52802170330585,983.0005492715604,392.96146844236375,1154.314797742677,380.1124809436277,956.954364762597,322.5636353263309,1145.546115984556,478.7473957126255,947.9997196239552,479.2137737795032,1094.7366658139983,484.217293966266,996.6814876110742,658.5623038977733,1085.770334752494,654.7103136754624,1000.2841623770148,790.4203006660055,1079.463439762023,784.5230415924627,998.3911081239812,1,0
8,189.24430713231916,1068.6271686539942,272.8656690421433,1112.377899640803,271.72497718324894,982.9310391529092,392.72707231023065,1154.133565707911,380.01541597790464,957.1495994551054,322.44298840685224,1145.646359501824,478.8910803032169,947.9424524132072,479.2802596371257,1095.080142613284,484.0185154491965,996.8672972825588,658.8813020783066,1085.449704934708,655.6465293775144,999.7379847294612,790.7731043067803,1079.31887456374,784.6215719860459,998.380659945654,1,0
9,189.27905416302625,1068.6130886372182,273.09761816255445,1112.6572162031164,271.74961187439555,982.9612771173684,392.6735568201588,1154.037882337493,380.7361103189317,956.9095146857492,322.53929043932294,1145.7770380809147,478.8432570954758,947.8759048091936,479.2320145308119,1095.0599297068734,484.0629768619612,996.5570539240448,658.5846363955573,1085.5382810280132,655.1877876748034,1000.1704782321996,790.7091364469887,1079.316476433703,784.5302148727199,998.3696372924178,1,0
