FrameNo,head_x,head_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y,start,end
0,198.44007505707063,1064.6606027125265,273.4542912159536,1116.4514796966846,273.5105808565613,983.5406592801422,403.8794362607021,1153.5384503994508,370.6387104882685,959.5640542663082,339.2072052081322,1126.2442075461695,474.7061089762476,955.1584552930262,499.7297397112505,1095.357695389635,481.9391260531541,1006.5113963982712,660.32513141012,1086.8980791146575,656.9076324284309,997.2424267075852,786.0417086994383,1078.893892959494,782.9332832366189,997.4063357003554,0,0
1,198.14986308312385,1064.5629143977674,272.7408553719985,1117.885317946076,272.9517480703882,983.8585544560956,399.0209967386273,1148.0259539781468,374.12966469019375,960.4480083614128,337.0137759581964,1121.7890283274878,476.0194698576809,955.5096975938964,489.7595494993331,1091.1535279037846,477.999529596733,1005.4479343658156,661.6012292720561,1084.9216745392002,656.6897686932269,997.2238188329468,784.406700382307,1077.5359937007772,779.3652441473713,998.2286474268548,0,0
2,197.9157308050188,1064.7138028561762,273.64247806980643,1117.3685676748485,272.95279344129625,983.6955529184224,398.8405058504856,1146.9994641821845,373.5941233839573,961.1185134114106,337.57165846806043,1121.411018455668,475.9713091310816,955.635336063786,490.3467358786356,1093.9454127304,484.30180895623056,1008.0529695464618,661.4624520985141,1086.4609161533915,657.9776020322881,996.6678656943136,784.1180065735418,1077.24791202363,777.9326038335793,997.303950010548,0,0
3,198.05451601472413,1064.3606541596469,273.61314741315704,1116.9104851492182,272.8612143289593,983.3656462389788,402.5006311674576,1152.671667823539,374.1898856888512,960.7240899707534,337.51617143926137,1121.0595474411336,476.13319764056655,956.18058002144,499.8838371604255,1095.0776906682672,483.782428374371,1007.5928918304556,667.1509882377554,1092.0566663664988,658.6341184013376,997.0628743728762,785.9338058792878,1081.1622636446089,776.2135493026752,998.2592409065242,0,0
4,198.15539598154928,1064.440894985269,273.5180099546832,1116.3858523288254,272.70109879800026,983.2818610242498,402.9914458675409,1152.0486326308744,374.938057848629,960.7006979444112,337.3551374418062,1120.8253379221965,476.76190687559046,955.7105243354928,498.1075664862544,1094.914171834101,482.1837763296457,1006.4271638465226,667.1530521923605,1092.3789562082395,658.8293067624571,997.2722240618972,785.9093335856077,1081.0278122990908,781.3339528057758,998.0113226941716,0,0
5,198.18756541288096,1064.3765638857358,273.3156285577384,1116.085107314245,272.65711118402965,983.3663417975926,403.21784568236,1152.5487058080355,374.50379630834135,960.6988991787116,337.4682142954654,1124.6045782914678,476.4153446549712,955.78222270576,497.9522716487492,1094.549478479031,484.0437222147174,997.5833271147136,663.9799235608084,1085.9595071875287,660.0214548445801,997.1839150254294,783.071310703094,1079.8422020345292,781.1485504825031,997.8516166513236,0,0
6,197.98702898509168,1064.259960950954,273.48626443096504,1115.9924311921668,272.7301455102134,983.3563961166394,403.02472194552576,1152.1359041313492,374.709692187365,960.5758835164,337.49183793681806,1124.2665818751866,476.528523300032,955.7295008427426,497.4755316189888,1094.2411334439291,483.2073571809091,997.2433455983652,663.7625841852592,1085.168992041841,652.1389208968501,1001.8110642163392,783.1718960105985,1079.810690336767,777.7802314807906,998.2434872438766,0,0
7,198.08301559815325,1064.348836390084,273.75405751837246,1116.388667524956,272.82581335546445,983.8258894360478,402.8055717545151,1152.1335206322597,374.49258853927233,960.5978763532676,337.4628220298975,1124.1059209527907,476.1991102518744,955.8516709371844,497.6781741912405,1094.4346601835164,481.22980606416417,1006.3949919062272,663.7329079735883,1084.9925878834497,660.9774381689659,996.5581208060194,783.4963741848155,1079.8118608125776,781.4396819274664,997.9252506791452,0,0
8,198.0690688367628,1064.357813401401,273.1850221532219,1116.2844763425762,272.6600534243143,983.7044061552856,402.5963532568109,1151.9759283409148,374.7559449948632,960.3336851637124,337.347216463523,1124.1207190632033,476.22237494460006,955.8323298334462,497.5120318726538,1094.847436550345,481.0445229439803,1006.3629450857596,668.5682553711731,1091.8895762357356,660.878434646269,996.6205946160624,786.3106548716404,1081.052602169533,781.3366475991992,997.8649839559608,0,0
9,198.07484282008693,1064.3729058124843,273.5071919395337,1116.6502507060527,272.7093418924954,983.5514976170728,402.6113182670583,1151.9868583314828,374.859715971432,960.3473958751896,337.3543606126882,1124.0427509114463,476.2372257743607,955.9757319554784,497.4943590102177,1094.7381571616258,481.5787818124917,1006.6088149654436,668.4832300848396,1091.9139066607877,660.9534950901225,996.5678438274936,786.2688025332241,1081.0518003263342,781.3203261515564,997.8626500675558,0,0
