FrameNo,head_x,head_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y,status
0,326.09138711996286,992.615740073244,411.4491502888336,1045.4804552065634,412.951521730857,933.295626671852,542.1592608229856,1079.9942478513474,533.3176000716627,898.5036072180957,644.5217571332953,1086.8968336342189,636.9556993501859,895.1287521149287,609.8817058409453,1037.2070427977978,610.8686846471421,946.7752857194238,814.9605816269417,1045.034606843902,814.6771836497849,933.2455303071616,1031.3895991688742,1072.0067070057776,1014.8693308191584,901.6066112420212,0
1,324.50989831098497,993.3653679216372,412.49787897375376,1047.0922703571307,411.81284694894856,932.9765993632612,542.110418027027,1080.794503508378,535.7747624723437,897.9697868352774,648.6548597139871,1084.7354342637914,637.5896943716141,895.0585901623348,606.4001412261447,1036.7055521004347,608.4431964492302,945.9119545336072,814.7793045341581,1043.6738473190096,813.4002185518937,932.9750562187156,1025.838861800294,1071.6132804876213,1017.9843204880256,903.4435398345656,0
2,325.0103691309419,993.2892251172372,413.194854076569,1047.3573172048643,412.8269049467129,932.7259991468532,539.8038720774557,1082.2168869029767,534.3070181882582,897.754882094967,647.081678958491,1084.6336694643132,637.0246034232786,894.6849527576231,606.2408216101915,1037.5436955213022,607.7416835928769,945.9484915414512,815.9642662772586,1043.500878574391,813.9067298879238,933.6418910870914,1027.5258647635949,1071.7469710238624,1018.3613980296992,904.353723350822,0
3,324.68876455478147,993.4253178091282,413.1948621127323,1047.1818332826276,413.1513416007529,932.5538261912484,539.3136152210409,1082.1390487480303,534.8985594983839,897.1839562835806,648.876367179563,1084.5458783970255,637.3596739303925,894.8844731405849,606.2075947537069,1037.5728269993251,607.6935737619784,946.366334252284,816.2245093892548,1044.5421062752573,814.0185316703408,932.767505295394,1027.477312943715,1071.2095033307885,1016.3683096609128,905.0833239755063,0
4,324.703654225998,993.0165499961176,413.2599255694524,1047.7068602977477,413.1880849483574,932.3116762720426,538.2501950902654,1081.7174013181263,534.9208846296848,896.8633320154644,648.0037925333288,1084.36039161542,637.2894485781189,893.7395500278403,605.2262345650106,1037.3463971924905,608.0781698040906,946.2619385729812,815.1998128506544,1044.4674353000437,812.8738632499784,931.8739425356472,1027.5460542845012,1071.832561058476,1016.5666984240628,905.0916720242468,0
5,324.8481939982996,992.8776885024946,412.8365858447567,1047.350880933281,413.0169039553877,932.1098337727028,539.0546766462189,1081.979986466878,534.0966160306695,897.031105596471,647.8032674901042,1084.4520513070672,637.1478286118129,894.463418011802,605.4415207008391,1037.239296469594,607.9387852305398,946.3716814432138,814.6537180529768,1044.2475257666124,812.7349019143609,931.6755966646192,1028.0027206480424,1071.5822716235764,1017.5779571582808,905.9274832384276,0
6,324.7472584480117,992.3062783773116,412.7978234111255,1047.227541035716,413.1206742622762,932.3177439110144,541.744330106073,1080.3190612792969,534.5102966219303,896.9630753897641,647.3448204467138,1084.4390132828375,637.3165491994553,894.0520939767405,605.2279837698868,1037.405938926994,607.9809737484538,946.2357703663688,814.4961610355055,1044.284148205737,812.864166279608,931.3499164791514,1027.7949630578564,1071.791061636808,1016.8926204289507,905.5034346513938,0
7,324.9869932712907,992.3160269609014,412.5176512838495,1047.6238775989048,413.1542801577961,932.6146519175354,541.7962162640376,1080.4067753238944,534.4588470955043,897.2412019683368,647.5456039865243,1084.2723065838054,637.0507062210063,893.984258176648,605.3958431486965,1037.2985362516092,607.8116598240886,945.941525865004,814.8215801105077,1044.2593859154715,812.8383273359083,931.3828512467855,1027.8512289248144,1071.8302214522296,1016.2976670978284,905.3969765129902,0
8,325.05740479468056,992.4827390414316,412.844660849503,1047.3791943395252,413.04113432706873,932.4019172662852,541.8082320023575,1080.3400847738408,533.9624378864105,897.4263981490518,647.7960041378502,1083.932194524088,637.0685987385723,893.6244841834188,605.3354862049434,1037.3754056528333,607.9048967299442,945.9770568690697,814.9565314006433,1044.3001332727974,813.2192896928526,931.378663095983,1027.8750052532696,1071.7439284594425,1016.3716011394604,905.46947336302,0
9,324.848744475485,992.1346260816364,412.74149459422176,1047.4602598797128,413.1108520616945,932.5668144366218,541.890392731318,1080.524915012693,534.5103897074883,897.1717053034305,648.5796010447726,1083.735293585268,637.2896735906911,893.8540104537393,605.5673429094768,1037.547235201598,607.9479129726772,945.940476472898,814.9946924613882,1044.3976453434975,813.0035160297845,931.5094859664885,1027.6806881461869,1071.7366331662438,1016.2237223413116,905.5237323163976,0
10,324.8693103567056,992.1717974335548,412.8657450632559,1047.4086244066002,413.15536437016,932.5215990905988,542.0147426478729,1080.6051013506485,534.6310825000659,897.3895564138846,648.4563624626328,1083.8422353858025,637.5791221291253,893.6522957649764,605.6780330226387,1037.6175813023262,608.1700084175337,945.9657634592162,815.196839470237,1043.486929058941,812.6873599723349,931.3084426195984,1027.6720653429763,1071.737307198866,1016.1890074552578,905.5416244518048,0
11,324.9261849630328,992.331656176408,412.660293182254,1047.5577161173712,413.1172220604627,932.4716749338436,541.7617374402804,1080.499894746869,534.8704309178266,897.3915179698981,648.7292973551855,1083.9736556025834,637.3911596181644,893.5713371820611,605.5803614940072,1037.5422225044022,608.4381979556636,946.0263809888,815.192936573599,1043.5650532741392,813.1430398968323,931.1823769933068,1027.5531006603464,1071.7007352112848,1016.2254444241368,905.6125579766716,0
12,324.7331509633554,991.1602613910168,411.7877145179381,1045.1559845127665,411.8669604635052,931.268454053488,541.5830126664418,1079.58551938003,529.661388198793,897.6502738464939,647.3918983003098,1084.4705098451368,633.5234995471175,892.0423614479531,613.2766794569316,1040.618616198022,618.9017941954852,944.4465950006602,814.3705129437391,1043.2988090431052,813.2157269937939,932.7363316229736,1030.0479710830668,1072.123145132184,1020.9550717407146,903.8687104639282,0
13,324.81111380151714,990.9539011241231,411.986386555844,1045.5498563498809,411.5679415242725,931.3681220868158,540.6152031232539,1081.5117335827538,524.1729947153397,905.8830287016814,646.8863606793982,1084.7081110531751,634.2071319401497,893.0970590382618,612.7146918069866,1040.1293226658292,619.1483865447719,944.2437367435768,814.5187774777257,1043.0513095785643,813.1923524735032,932.650728134615,1030.3847305238323,1072.820496457539,1021.6192385372166,904.3147653415743,0
14,324.80737028878434,990.9290520572032,408.9281087609974,1044.283378651526,411.4281591606388,931.1857498471657,542.4369655132913,1079.4448409686624,529.9222728644918,897.1436434822167,646.0754341204857,1084.1370042468766,632.806496986022,892.3243055266549,612.4956072446429,1039.784822036553,619.1860734718829,944.2559487078664,814.426937524922,1043.062042976284,813.230063509104,932.5648165554968,1030.3156355918616,1072.718730985374,1021.693234189434,904.3322565553822,0
15,324.953170399362,990.5549504982909,409.1942986338284,1044.499533244742,411.6746818631771,931.1941046227786,542.5185660547025,1079.4231908659476,530.0881225327986,897.279833051582,645.7331357541723,1084.2363319425,632.9135708257032,892.4647424433006,612.6057616135854,1039.7748107685927,619.2486537541462,944.2725136313344,814.4740133694771,1042.9765165106153,813.1757819047984,932.7374819181668,1030.3125537232395,1072.705189791083,1021.4104603542928,904.2600233987532,0
16,324.9531114674978,990.6538866478936,409.1828029022415,1044.2003246478348,411.9992558016733,930.8182742576404,541.9074622118271,1079.2664954348754,525.5254756396706,906.7240330614122,645.654299652933,1084.1729755667884,634.4262871537624,893.1323677191921,612.5107540730846,1039.750846453575,619.187102100784,944.194843816372,814.1579885693612,1043.1323108771196,813.2983494673035,932.827447110638,1030.390651836817,1072.7415808257945,1021.4639825411672,904.2121361389834,0
17,324.9184983728456,990.78437452015,409.124315705814,1044.1520310849676,411.9187722869595,931.0744510513296,541.8303029899944,1079.266491398752,525.6644128667982,906.6390470999468,645.63778265865,1084.1973739332527,634.5407967883681,893.1973782328453,612.4486948020747,1039.8066641914766,619.0940701170922,944.168777185534,814.1651889716695,1043.0859398544055,813.1374038676446,932.8174133076552,1030.374934440781,1072.7468546938144,1021.4873992513152,904.218374640516,0
18,324.2491556175043,990.3169120435414,412.1946310035894,1045.768351894718,411.7285951433318,931.2458907778346,540.8099006087324,1081.4964198575665,525.2687429916718,906.5410937464123,645.6398050930782,1084.0996579962737,634.2951650954346,893.0869088603854,612.4137307949586,1039.7443291231782,619.2057218911278,944.1744936817628,814.2003257562961,1043.1240613770608,813.2145349629058,932.8929264873026,1030.302177697071,1072.7983206497406,1021.4450078202782,904.2236767614004,0
19,324.0718591042706,990.6223847040966,411.6897061401288,1046.5213701078596,411.8829711795008,931.5800885292294,542.463502933517,1079.5000648918965,524.8634257025154,906.656382250313,645.3677093099091,1084.2396193650784,634.157468451015,892.7385624781153,612.7737495710078,1039.7970178563485,619.0817613936524,944.2916488927748,814.1692284830834,1043.1760224308011,813.3699409673366,932.9578461881774,1030.263210341276,1072.7596303700177,1021.4602269741896,904.2332854260424,0
20,323.6797613037268,990.7979883646632,411.319623408919,1046.0986574776991,411.81730367117336,931.1353749899546,543.1031507261397,1079.7448204651553,524.3553968709839,906.8185513375176,646.3594622667806,1083.729920832223,633.957501921139,892.2640576387136,613.0789724283007,1039.722137843573,618.9784431209489,944.1773620201856,814.2055733709248,1043.1945727906798,813.3074571190326,932.7471672691552,1030.1590080906108,1072.7426194549046,1021.8152526141142,904.285515554682,0
21,323.72945559815406,991.0247741071378,411.5590769664829,1046.2304745799563,411.59121291380086,930.6876303219428,540.8127869307142,1081.4741811535098,529.5874367454737,897.8504332823408,644.3405054883622,1083.9119567282494,633.199706455821,891.9339404081616,612.5098982216942,1039.46589991943,619.2012243184063,944.1757381531704,814.2208983343196,1042.9983209950533,813.3561589472935,932.9263671157468,1030.2166220239606,1072.6808560025947,1021.92316757222,904.5238513371946,0
22,323.7809888346142,991.0026924755538,411.0604879480964,1046.2224776739588,411.7070809948429,931.0161209947304,540.891873492376,1081.45817388777,524.4709729714262,906.1611620071266,645.2030081432724,1083.9589392236717,634.3378187062991,892.8390982779924,612.3606613119495,1039.4353098872828,618.9944833028766,943.884915948177,814.5768601872676,1043.0392055805776,813.7223695871578,933.0079842594772,1030.153081420184,1072.6666394303074,1021.760715191944,904.7200849702656,0
23,323.73341340857456,991.054435578626,411.22888574984665,1047.0486909864933,412.00608386174906,931.458606593842,542.8724087044228,1079.679625298853,525.3978252038844,906.8219036744152,644.6992070033119,1084.2934034012592,634.482908955786,892.9473390376016,612.2860508932404,1039.4435113742893,613.3146690795263,947.5458475739356,814.3556755075839,1043.0527753640763,813.6120973544871,932.952706857607,1030.160632734956,1072.691210004707,1021.6522249784828,904.751428159872,0
