FrameNo,head_x,head_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y,status
0,185.03932207551517,1033.0612020051103,272.8115628940696,1117.2592593605775,271.22940005189577,991.003431422495,398.3353727164597,1165.0903665625287,375.6471186713527,957.2850679037416,315.6074473327716,1169.0109371771102,470.6645455782063,947.5144887863934,487.0875469698862,1099.9972112629014,482.43089772634914,1005.9610561620306,669.1541640005123,1088.4931631880067,660.422350234886,997.9843644163874,792.3520376158318,1081.847978825958,784.926746458939,995.5414712472842,0
1,185.00184743705125,1034.7847565616603,272.50736196887505,1119.0250048612866,270.0784142026665,991.411499651279,396.39112881783234,1163.52577674748,376.8392603915131,954.9632515441313,318.20591561971,1175.1773481628284,468.1880144335048,949.0774574251756,488.34144091265097,1100.5818901650614,482.9664611320346,1007.374411084738,666.1879612162456,1088.1386933337233,661.5427494421116,998.7061830586498,791.6306834723146,1078.784070712166,786.0565827587335,997.3619743307928,0
2,184.4043995469072,1035.6500980733165,271.3424156298097,1117.9047760973951,269.7622427216432,991.921710057087,380.13135738893664,1159.2640184883155,375.7328491310149,955.5946748104278,328.410288335753,1167.677295020536,468.1739404328623,949.980599251326,488.5585298277777,1098.6955190598308,483.1006878281136,1006.8889811317506,663.2593362012052,1088.2603087975294,659.6752194279346,998.5145879404936,790.4529867556687,1080.2185661769984,786.6763415704003,997.3816107442324,0
3,182.96218883231649,1038.2005824278945,276.0777985135042,1117.2923844987029,270.7950665209786,990.2978739854084,394.1907268568815,1162.2729276927582,376.4599313847575,955.9264979758392,321.68399957128554,1169.3938845733262,468.0249901462748,949.2491662265796,485.5471423760502,1099.6758275308828,482.8534860697772,1006.1158616782812,668.8750600132737,1090.8054418514794,660.8688756300352,998.1986132866316,791.6606811305171,1079.3136013684075,785.3482546080847,997.896100449965,0
4,182.4178986555578,1039.72970406156,275.18867606769453,1116.6203968460118,271.0074981446384,990.63065505746,394.8714956970612,1162.4745549321788,376.4256933110588,955.5346307467224,319.0728837026886,1176.2298615376446,467.71441654359097,949.4543802344036,483.83624789928734,1099.52634767957,481.2425112383263,1006.0615785081628,667.9868443145554,1091.0238553284723,659.2847737286273,997.765202238488,791.3863211583408,1078.374016374284,783.9890472476596,998.4194208575382,0
5,183.5086465967027,1041.8718496935055,275.01450160389913,1115.8779263689096,270.9124102425048,990.7125722197028,378.9522714205619,1157.1613562343578,376.2730105614631,955.8285358773708,327.62338253859576,1169.8674261245897,468.0203814066278,949.9000422626976,486.3563317843314,1100.399248850512,483.5427156505411,1006.56296191191,668.0771948984292,1091.7482325366805,659.1258914138932,998.0183512668764,791.7906084792356,1078.5953109707575,784.2347579628655,998.175780263392,0
6,181.93601146320992,1044.2776365931818,281.5378705484814,1112.161734284591,270.8440978319344,990.5078707995616,361.7059283510761,1154.0536003477166,377.2220878080212,956.3536436149604,332.2719721800329,1172.4266596281907,471.8247133822838,949.480613691679,476.95151746970623,1106.1067697810918,484.0077081489314,1006.4102376900028,667.5704799795957,1091.98274207413,659.1842875338034,998.1221785254552,792.0627143076089,1078.485553974093,784.3843782645673,998.2108205421108,0
7,182.00329491003905,1045.0943165820456,281.3421163075302,1112.2775495026062,270.61144018979314,990.3260057660958,360.89520805368807,1159.0053863861735,378.613999506897,956.00402652648,332.1343769921748,1173.1257141556134,472.3881465266368,949.0687286354532,476.448713483674,1106.1721953427766,483.43124870826114,1006.5630237991368,667.1967153462383,1092.036160168448,653.1510194101321,998.8495801355276,791.9193585300321,1078.5502594240793,784.275330709698,998.3365057637636,0
8,181.6022709411204,1046.1513517605392,281.7322626597549,1112.6470404631243,270.7001162381414,990.6356275615932,361.3362326950648,1159.2494178116103,378.1114456464472,955.8238755001206,332.7729841016514,1173.1372914394854,471.6881565232271,949.4339883931852,476.39965806422833,1105.796042434614,483.042903795974,1006.9386335228578,667.2368961626903,1091.953578391205,659.3571159402477,998.1334594905946,791.9872815215231,1078.4993659250006,784.3288503852715,998.3377562893568,0
9,181.834203989205,1047.7065306809964,281.3806269413783,1113.4484706320893,270.6480783975946,990.553255662771,361.9295962052165,1152.516773680744,378.29500300056446,954.2698414933586,332.4315328808848,1173.006282612999,470.6200198761353,949.123583589732,476.31555693667326,1106.5422844168547,483.74773826648726,1007.81789360635,664.3911568055072,1088.3449180541363,653.6267575982023,998.5162420784352,791.3260958067617,1079.3629547500332,784.3520338792639,998.3354442632874,0
