,FrameNo,head_x,head_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y,status
0,0,302.03623862198333,935.0600032540124,357.7298463739561,1003.636158894827,367.20377705032087,902.7378101895436,282.8501773531632,1082.9984899516671,289.22195780571786,859.264021851752,157.8226840728591,1067.8229333792076,168.2121596813822,856.6373395954836,596.1577805617076,998.4519331775808,594.164966092153,905.2929711604628,807.3160580757844,1009.9823684187868,803.2598187182442,889.5326810300044,982.8265433937736,1037.994433647565,988.0134300757755,844.0122161797966,
1,1,301.805642255726,936.85421015216,368.0269734912172,1003.3775456279276,370.0288005179019,897.6492022557087,287.76348892827025,1067.569237456087,290.2654572922169,855.944579360592,156.20033823777237,1073.69440733204,169.28022605390015,855.9224883113865,607.9338108454631,999.5083817727948,600.7364462069944,906.6093472852856,804.957829885892,1011.7180986145156,805.8042320876499,886.5413747054528,980.7854878359868,1038.1141813952288,989.6451760454512,844.9207731382887,
2,2,302.40728167470627,937.712972782536,368.37893065612553,1005.6379335334772,370.4517679003652,897.3615161186628,286.9842516399329,1068.251681359352,288.16993931645067,854.3413221371867,155.77723214778229,1075.5485271198795,164.4258235737933,854.8244071024293,608.9139240894888,1001.374636838578,606.823096554363,906.4095154481282,800.5633745329898,1013.3422429451252,805.2818453110395,887.1116116850977,980.0373464815018,1037.9361762411888,989.4873153279754,845.0567810820974,
3,3,301.9957216260337,937.6433705057316,369.351828764877,1005.7924968823188,370.413823816029,897.6907568377314,288.1051946275411,1067.7551466852844,287.0180490640112,852.817398956994,151.62428308990437,1074.394658612119,160.5236033128359,854.623096026015,606.6909780117873,1002.5717214658628,605.7959449678775,906.4173953065446,796.25995015912,1015.2838343158528,805.0775312168234,888.020231203504,992.1285346642582,1037.7487521203102,989.638632599492,844.546773827838,
4,4,302.3621170976537,937.4483880709412,370.4408896139911,1004.0746890929234,370.852445644582,898.1031161384667,288.2768417179817,1066.9658383405183,289.24097639066497,871.0583563362476,153.8127406334846,1074.2263038293306,159.9140951506338,853.5168013057668,605.7195478421969,1002.9962247894758,597.7765886433258,910.603448670196,795.5794049921519,1015.109223878007,791.6671247941155,887.4287305799677,992.4570171916748,1038.1272611260677,988.6118516601108,844.6487881942851,
5,5,302.9866408309639,938.2214005671382,370.2529398269554,1003.5397951012584,370.75154893575,898.8734547028553,288.74798589937086,1067.3725652309308,289.8886389168093,854.7067662112246,153.98069510689325,1076.2257186811169,163.26246035889622,854.646344097286,604.262411963335,1003.5934028933804,604.8434640713258,907.2998150020378,796.7088904213377,1015.4578048599546,795.8189335539065,887.9900975055681,991.2836347227752,1038.4987405500897,988.2531430925908,844.6966808355529,
6,6,303.1998442611397,938.2229181495684,369.9068624548546,1003.7218471417788,370.90026349488096,899.1161515167933,288.94235122343343,1066.3795496977752,290.64230245483554,870.3715749456111,152.90013886242136,1075.2472116665135,160.75660383127754,852.278082046677,604.9389202976103,1004.2150843029598,598.4152821415577,912.0018194844668,796.6528194313396,1015.1105919556966,793.0938545098074,888.3484783635081,990.8128483180726,1038.4707163993617,988.8838525161012,844.587573654769,Start
7,7,303.0039895681473,937.4699853677072,369.5638629332941,1003.557438342384,371.0957672754096,898.0749816670303,288.9890306172662,1066.5934790415768,288.97511030824654,855.3534285344244,153.1800836332443,1074.9152512729038,163.39668035817238,854.2070039837437,605.5852099791924,1004.6126895542972,597.8684413200547,911.5181418817592,802.2273250922115,1013.66211430804,793.5885982240594,888.3293632826851,966.7023259672604,1037.0721538692253,988.0414692121612,844.7180346195353,Start
8,8,303.9842702322415,936.6289803352888,360.6641295176333,1005.6474392769708,367.76581157788496,902.7815052623876,280.13638376104507,1060.628044134024,291.1328191471968,852.7338108396285,147.5519794419466,1071.10465695103,162.0138428270119,854.0223244268346,605.9177383799856,1005.5319604025792,606.4635572693902,907.711206305824,802.1846905672348,1013.7218220281216,805.7663576500623,888.7566421138812,966.8779000628288,1036.8346750902658,986.062024616296,843.9823999902416,Start
9,9,303.67729214294985,936.207669585352,359.9847562911451,1005.749631232851,367.4337573107259,902.8658373718488,281.62257037020163,1059.4355337800216,292.2822998900097,853.0444174492561,145.53696507130238,1070.5826920082602,162.65107575256584,852.1496828683241,598.0777525684769,1001.4619516432942,606.1446582015376,907.9675909598728,797.55149285722,1015.4948921259672,805.8552617245439,888.7639663326312,991.7803946769128,1038.2835102291515,986.122256999518,843.9531596209704,Start
10,10,303.9323110791269,935.8200685387584,359.7324770169698,1005.858719578392,367.0073852737486,903.0036104469943,278.2483421097496,1060.358818553109,289.24089201095046,868.9360502692903,147.8510472678394,1074.7368788316269,159.8861614470364,848.224412187945,598.2943794042143,1001.3194872472848,605.9657732066934,907.9994615362814,797.432970163571,1015.8211331749384,805.8832463238422,888.8820242899293,993.9520830915868,1041.2409470871387,986.0854433354848,843.9532833954239,Start
