,FrameNo,head_x,head_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y,status
0,0,181.65264362166545,1051.269071580381,278.21521302658493,1108.8708863829445,270.92894967107685,986.8915714261112,411.0537127927624,1147.6296268325796,388.03479607610615,957.6701806802072,405.489399916794,1130.0041957745914,478.0618594185738,952.8096621567322,497.71529456883934,1091.9482903967528,489.9884355021701,1007.7048646589136,666.2808492186786,1087.8367660713056,663.0931905342171,1004.492831485925,784.884672623772,1082.0990172981078,787.1574319897144,1002.9253847681364,
1,1,180.53007406438124,1051.370297557374,277.5644632743766,1108.1688323010426,271.457903332456,985.6579544997934,411.6901936673684,1146.9327484063592,386.96594684734765,957.9153684550222,403.3956686479992,1132.2093264588882,475.8530221648892,952.4416161284212,494.81272346486656,1092.3610015129186,484.1719900957164,1008.1890864656044,667.8463246329397,1088.9553211893256,659.8979349967252,1003.8366311302436,785.6323304690992,1081.3830084874296,786.8141623568007,1001.9055781199772,
2,2,180.87395287614183,1051.357372544602,277.49900470629467,1108.8039163313397,273.8885651453264,988.0858334577058,410.3415533594099,1147.4534217896137,384.94470947275545,957.8347744685952,403.04168528171135,1131.9680389247335,477.6180402014128,949.216941816679,495.17149395688455,1092.1809002654156,484.3176910936135,1008.0159125513754,667.3709728503878,1089.548682465788,663.4965429814491,1002.8089937298374,785.9581647458715,1081.4762901962024,785.9310064901765,1001.7242996697912,
3,3,180.99780421573251,1051.0824358489565,277.49000688213056,1108.4154502089457,273.9930744443975,988.324841927466,412.3771583894449,1147.9057017150476,386.9648090605618,957.1468616180084,403.47543192157815,1131.5430243588123,474.3182690028871,951.4962133986384,493.2551194725483,1097.5000139022031,484.521131924752,1008.8349240742388,664.2094089274908,1087.947971699958,661.4385116983917,1003.1887391347556,788.3575966888347,1080.2099224822125,785.3536310524562,1001.9511284642496,
4,4,180.96727416171208,1050.637891826868,277.5833643304356,1108.8397382726396,274.57843192687113,987.7712902823064,412.1455039283544,1147.970969867917,387.5910598992991,957.1229543132348,403.1783969101577,1130.7433472128146,474.7757048290634,951.0604318006348,493.4811419225328,1097.9296841365638,484.2131406092054,1009.7466776425308,664.4232539113693,1087.6227233797028,664.270591587022,1001.8653716031986,789.8964375792306,1080.8384975907034,785.7947926853041,1001.8343284321044,
5,5,180.8979347964412,1050.5934473804305,277.52049541597404,1109.0510804612877,274.35762996946414,988.0408898773306,411.7221320590055,1147.8398402520263,387.5919090538868,957.5792723802152,403.1944863135855,1130.7391819333786,475.2059194914541,951.003510351132,493.6559820485208,1097.756989175655,484.3441026139476,1009.657566762864,663.7284820566562,1087.6029837087706,663.8034159309377,1003.9913364160948,788.9569344167126,1080.8978437413896,786.0154696636299,1001.5475564770276,
6,6,180.893501513026,1050.5034848787084,277.0165194894619,1109.0863696342878,274.40678952419245,988.2658418743688,412.5019050915622,1147.7447438012318,387.2844829484917,957.4936392936174,403.14722630695496,1131.102150518346,475.2840952879431,951.1451459964526,494.3388603815641,1097.68586460761,484.06257639315714,1009.302461891819,663.926970602167,1087.205175642228,663.5389699055407,1003.7693550059412,789.1962640834257,1080.961035813241,786.4999275257319,1001.4259884376722,
7,7,180.7348140752517,1050.4812660189257,276.39281879320873,1108.994999870844,274.33203478938424,988.202738429062,411.3083299207749,1147.3145091822707,387.6658524710428,957.63780626105,402.0733443472258,1131.9112425950589,475.00543061096425,951.4956765942152,496.22685649460095,1093.3754791327035,484.0419924305691,1009.3855966179796,668.1859878073743,1088.5856324587562,663.4462620471016,1003.900540454873,786.3380609718193,1081.9888153188288,786.2982442730889,1001.5104766105748,
8,8,180.84760966319564,1050.566685190979,276.4635276546404,1108.8897969668444,274.245451826733,988.2819190995822,411.3341152900527,1147.4295104487169,387.41051811545657,957.6256514751764,402.0948139619765,1131.9404506753422,475.3449986907999,951.5106950097012,496.1984633903354,1093.3867997863904,484.0270565514136,1009.4755779549448,668.2227378517815,1088.6522217693791,663.7190067504565,1003.8154192832708,786.3821982593313,1081.9081982928633,786.3026755474633,1001.5048435275648,
9,9,181.43620094800332,1050.2096281815416,276.6056592566759,1108.9132845147756,274.6002594857284,988.2002898474811,411.6237171852697,1147.7054104325002,387.59691625329697,957.5442637177972,402.2105330391575,1131.5890469295323,475.30859085301273,951.5228814118756,496.11161657365614,1093.2826839449824,483.8964648798631,1009.3356899510932,668.2553499417745,1088.6885885873496,664.1161927817236,1003.8877667967316,786.3752710865749,1081.910377799545,786.2098028639667,1001.525190971425,
