FrameNo,head_x,head_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y
0,270.78949771094847,1004.6858120034672,377.72279033735293,1068.29123806025,382.4910870020039,930.1275408294252,495.00263428502024,1088.3329253858894,491.8680487249545,906.6624855417089,617.8168833550303,1104.1153923331772,604.758596829537,882.4727288105312,596.1354949415427,1040.8243427935286,588.7725424797544,945.3732137799176,790.559985256319,1058.707168713639,787.3812969391305,927.9065044551628,992.0455401833563,1057.4380751027509,987.9761283822425,921.9238968512138
1,272.29974651832725,1005.5426998544843,378.22840296245516,1068.1430773486293,379.7950948509345,931.0072018345169,499.75649678660614,1091.7782747491506,486.7521724279277,903.4001521377508,614.5252594867205,1107.5339620171183,604.8436288126733,881.611554007772,595.6506611559884,1042.9188890758462,586.4508292764929,941.4381412054843,791.0901657719605,1057.2334416240215,781.84013198039,926.549925681513,993.6597294801232,1056.981837085553,989.8376763099501,922.7084661143217
2,271.9748437668164,1006.2962360368066,378.1692554612773,1067.7904520027785,379.6091914393967,930.5453623506097,498.6507846723142,1095.7419175281848,481.1106605678603,901.725736669895,604.4426562417158,1112.0076741058103,598.7043215053444,874.5865585697127,592.8767342933287,1044.621565438298,586.9991460733203,941.7947421329676,792.2954241848115,1058.6009436613667,798.0566755475861,922.4389872666583,1002.6244459908712,1054.1754935192414,981.9462232254881,918.4316063627963
3,272.2358945132232,1007.5786362423081,378.10076826415536,1068.1505199603348,380.58903798325315,932.139742793098,492.40951251611597,1099.336431925127,481.1667904897226,898.2557542564062,603.9004323634431,1117.2871483011688,593.0942806000827,864.5304264065801,591.2752809760163,1044.8999422565269,584.4098674739446,944.0474065798859,793.254620635153,1059.8303721846246,785.6852887851828,926.3132527818758,1002.5498730742574,1054.1355177341886,990.0727861538354,921.777123557041
4,274.67160286921984,1003.91106195611,380.91169429228427,1067.8845501856977,377.965138587902,942.9752382927306,463.892144053128,1111.9246887162187,461.3177517765675,886.2595483470192,552.1850642984338,1143.4164399561157,536.7700088163656,836.0488992224364,604.4343242471642,1043.0770351569677,587.7419648089862,951.6927443594726,805.4636219853077,1059.7635629052718,782.9555527844572,925.4828338286704,1003.7133970124203,1054.060305918428,987.2144892869907,922.360952518864
5,274.0262366767357,1006.6936758070813,377.7381809294146,1067.2967399244008,379.1956978563524,934.8195014185629,447.97954157518006,1122.234313650923,449.0364443775271,872.3466546635344,498.5175139448267,1152.9981296715887,488.02741376879305,816.7277190511845,586.1537899121506,1046.1857502956236,585.8202784207149,954.8491126627366,804.0321656662403,1060.1454957209469,783.7305402817744,925.0451391081351,1002.7230912346213,1054.5326621947615,987.8830709507002,922.0462959956633
6,274.1460250661029,1006.6756504795992,378.02133112486996,1067.0838128845978,378.88257779442597,934.1146186867854,450.0172393560719,1129.6178486170268,431.87676998976764,874.5405938500959,474.5956532511816,1165.8134710464647,468.9730414426528,812.4120362062475,586.3975280841088,1047.767812489237,585.8554781552874,953.9993337705503,807.0349597806893,1060.0250350929725,784.3058800170263,925.115300388042,1003.1453688464021,1054.6180517685755,987.928582756975,922.1408660686866
7,275.5288287784095,1006.8299299544224,379.56774208108527,1067.3286791149087,377.70276823651494,934.0612739153771,434.81072231138944,1141.020184025705,424.22277548533265,868.5597012622842,454.69418861776086,1178.4089820968327,441.7251979297097,798.9747367371189,586.8969997410966,1045.7158338559366,576.8865928848326,956.7671162130902,806.3806058092451,1059.4396099283974,784.0431001561516,924.8700439991276,1002.9417405047868,1054.909336109708,988.1265087292005,922.1097038319496
8,275.81074944088147,1007.0165024532456,379.02214251197046,1066.8884268374588,377.98645718975087,936.1315994206639,429.55778774266435,1136.8610838946834,422.9892662752744,853.2793265629306,420.74867881010965,1182.8120396576937,416.69769644272185,795.6274988088952,571.262054740995,1044.1601221671795,586.4959067951098,952.6071092996591,791.8346707625568,1058.9109732735078,798.5088021485485,921.4880281402118,1002.7183592738038,1055.032080679059,982.002606286494,918.4942927420096
9,276.32885160309746,1007.0547904659948,376.9569125008056,1062.8701564724354,374.97757099384756,942.8406261749604,403.3996493112591,1130.6885864347505,382.33836239739105,834.3856365307564,372.7476106849541,1181.0531461492872,352.8014669926796,786.9599572601431,570.0595835374452,1041.5385889954466,603.9185900743978,952.8007127255925,791.630833480696,1056.7390716575158,810.2597066143863,918.5583056604748,1002.3481010863622,1055.2313575492371,985.1344394187778,922.0098693085278
10,276.2926272577055,1007.0347255507785,377.01548106338635,1061.8193974659603,369.9551785472775,939.6544753165039,380.7872394033464,1141.4173708655746,383.40187360468394,823.8967821512216,333.2621343114131,1196.9138131572604,321.85861066661977,742.7045520835726,571.3601213809882,1040.9453979088576,635.6979621123274,946.2466764765396,802.2660111822914,1058.4989365263077,814.3686847165905,915.2597864334589,1002.0392231141327,1055.2766801888763,986.4988038195745,921.7138949919063
11,275.6297348627653,1006.535726150636,374.6005651079632,1059.9928430561456,368.8443329988437,935.1627320143162,361.2991926790989,1149.84644957801,365.846345849403,842.8744814029781,298.3227128325265,1206.1540550663576,302.032972591286,773.734674390671,576.8853633518492,1037.314099291508,626.345011856218,952.2787578731316,803.5868617679114,1058.68717594413,815.78195118005,915.3107593096328,1002.1472505785243,1055.2388983732808,986.4519839603041,922.0621169270355
12,276.13066441371006,1004.1988859940417,372.51972585412705,1053.5968069150815,367.20192940244436,951.3130272074188,346.6012375314462,1155.8636655113787,352.18365345571686,834.187468249162,272.5623755337203,1204.4455101803592,263.90141193206347,774.1879552747291,580.5808385791952,1034.8410534210543,612.8099270387805,941.1929009610639,801.1129978760321,1056.9466757231298,817.7556683772251,913.0653595486431,996.9802446948225,1054.2901248077012,989.660879713041,922.1224132484588
13,276.3937369248647,1003.513770849717,366.08950809632535,1056.7284129280804,365.51062910082436,948.7391441732011,347.7884480609075,1153.9205555912329,333.35726138984273,833.1960658200255,246.3866823547373,1196.5810805186904,249.70274394448307,773.7593377959107,588.9780338718925,1033.7076063527509,617.7769349176334,939.1432094644047,806.0455379808523,1059.048683452396,821.0637087877767,914.3316704205605,998.0633340049317,1054.397863742624,986.97885357667,923.0162941892738
14,276.11908631144945,1003.6415632641728,361.8476768959948,1057.3438649174047,368.26767533281225,941.7983396643668,346.46199359075297,1140.1932267210748,324.1019826623646,833.0690745760816,283.5193680910822,1182.5549540635334,237.0697850895796,783.6382935556921,589.4245083713407,1033.6020724866253,630.1078970999649,943.0768517375782,805.9021256152922,1059.3221012202368,825.7420469663542,913.5907767223664,998.4163673460405,1054.0566619716087,988.9882082909694,923.7638173884632
15,275.4857649883771,1003.7193884698895,364.1833981363919,1054.0636067947512,363.1215520891008,945.625856106637,306.4482462948723,1157.4628687850875,310.1224417618254,855.2776166816393,185.9733817419243,1189.2621302552122,191.25334326715554,794.5641470971483,588.8029245344343,1030.905021762778,603.4211301369536,939.5408974562736,804.8994511776689,1059.5285179928592,821.8986902621384,913.1874334488084,997.8551458103293,1054.18029112469,988.9077441969835,923.8934593565057
16,275.9162193963059,1004.2830606946869,364.22003400031235,1053.4133368498433,359.91981438139476,946.9612842478532,298.57972272815874,1142.6709053886016,303.68226853706744,856.6244441809504,170.9463691463396,1183.510725594548,162.83768350033208,798.5943993674229,588.7878754793124,1030.7841492820364,601.5595636256184,938.6197101220238,804.8357699410348,1059.1172692987693,821.3202847305912,913.1786313361757,998.3220368522971,1053.9550660166296,989.4279920357255,922.8906476471374
17,275.6365006425756,1006.385476072425,364.44634709153587,1050.1393902152886,359.09666649231826,930.4281983946634,293.9124851698063,1132.1420244361268,281.6598836157195,835.8931394152393,163.12897031111896,1179.9773725948291,157.36915579969147,806.0632095505086,601.8391417464912,1033.4062882086357,614.134940356985,935.6450998949532,801.1277435659897,1053.493774772829,820.9788067226136,911.0643248659649,994.7583734539612,1049.594182582746,987.8856914096132,922.6303883145436
18,274.25602206018095,1003.6326333409631,361.20112503458523,1053.1371395382962,357.6168977640695,942.1070055712855,292.816915028427,1130.739211027102,289.3150470470731,837.0504090297231,152.68864813954684,1171.2145208489098,153.33034314476777,804.322901045374,588.2936420614294,1030.447611924395,619.2727729589018,938.6358781600156,803.6421291415805,1058.6653701143175,817.180115683646,914.4745505372888,998.4475248904779,1053.7384486145872,987.7684791128409,922.6038158228956
19,274.2990121853832,1002.7471246656297,361.889497089758,1052.6758059151991,359.30927321644225,943.7370270022043,292.02011068713676,1122.5181325089836,287.8731852359052,859.0298621116712,153.18661167655716,1173.7229956431393,137.56748452453215,810.8944305262962,586.90936605704,1025.6284804838183,613.4886265669129,934.4487135170315,799.4470797961648,1056.927781283724,819.6112640192356,911.1461182537541,998.6845274182382,1053.9839431347873,994.3080322206097,921.089843032467
20,273.75584121178275,1003.0309643769948,359.46368610595385,1048.2097814645424,358.1291274999611,944.3862912796773,299.31769163927885,1127.4320146391096,286.8816860878576,858.8125410787679,174.5838929214775,1171.6061963621612,132.87140785485155,813.3650958406672,585.2659974513655,1025.640317088624,601.5749180549452,936.7141344685664,799.7142246330667,1057.6038158228957,804.9899812358562,911.810577190772,998.6925776448144,1053.895788143699,987.511235666213,922.7440078813833
21,273.3442008014773,1002.2158927833395,356.78113946058966,1047.4413640949326,357.1179986837161,945.1406911924253,309.3594294871713,1122.513193639213,291.6143246217884,859.485311739415,171.68026372267147,1162.617821171387,132.32192447498653,824.1511729602688,584.7349075099116,1025.8623691309383,600.5638963875441,936.498422503559,800.0253848756707,1057.8774945933885,805.2624768181491,911.8697494518048,998.9841765266091,1053.7015517190657,989.2937251169752,922.2482938857573
