FrameNo,head_x,head_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y
0,291.2050819179946,975.2063693481715,368.1152748534521,1038.141392887208,370.50405519681414,929.190932140028,461.32204777552647,1074.7615287831213,458.2085729234395,897.6470382208338,560.4799438297981,1066.517652389672,556.1476307882599,903.0946418907956,552.2978230539627,1032.1440134602028,549.7532864633865,950.5892448229093,722.1954146287221,1037.101530709922,710.7783584197879,948.3390748474548,847.1811142513438,1053.3778270354262,848.2476370108297,937.0624384715398
1,291.86023747579947,974.9677416193932,365.81333596932717,1037.1268849649648,370.50094855002214,928.4463265536026,460.3616900995897,1074.7854078350306,459.1907996784106,898.1884949492849,553.6637143257846,1065.6706432872272,554.5986683501999,905.5541892405558,552.8347552861286,1030.7860045534649,549.0373259247976,951.2547634105136,713.956650286254,1036.1897469547898,711.0128241986695,947.8183987734512,847.3478820513067,1051.0712880758922,846.0911151801656,935.2912717843038
2,291.4454616433777,975.7207006360572,366.77658331564714,1035.9905427348342,371.5924811890283,928.2519226298449,458.12206496497896,1073.8219017460451,460.2985486252565,898.2456908551846,548.2203521530091,1067.407092921967,553.7627185181616,905.6525283802266,551.9951034615347,1027.8807039842459,546.9371737615339,949.2845225001328,714.6706071414625,1036.6006095263995,717.5759306313622,949.5340183322523,846.1881511822168,1050.669668227062,846.3426109284201,935.2448509827334
3,291.29496238631606,975.3880204670926,367.12380785005763,1036.5386943831154,370.4460213739323,928.1417256957201,460.3240580862613,1074.3614682233308,459.29973255053295,897.6804082171169,549.7560214376264,1066.4493225007966,553.1833151630059,905.111940091012,552.5835528578342,1029.0613992594342,548.4175341523049,950.6912729794449,713.8363167771437,1035.9564159653978,711.2364324512655,947.5769336708848,846.7362623872,1050.6189301187374,847.4483414589196,935.1538929038851
4,291.62037007675366,975.3502154437871,366.82475140872947,1036.2451272778087,371.0030446840045,928.2217916226581,459.1173692363446,1074.2776581191738,459.90236644472037,897.7215464057334,548.3444197993284,1067.2303665463842,554.1233627755868,905.2938367407784,551.9515447777796,1029.463672960269,545.9472356382055,948.9895128170241,714.0807875793218,1035.3615989937316,718.5200713297791,949.2626872402531,845.394366429283,1050.7749599257784,847.4978951204893,934.7849387477901
5,291.43311541784254,975.2761673769646,367.14892956618365,1036.489629584319,370.8683251032438,927.9990016424332,458.00661878250975,1073.9696534638192,459.5127524883136,897.5547980000919,548.8654926632408,1066.7415428862337,553.8736189109296,905.2430021018338,551.8426661497595,1029.8611934530131,546.172200663037,948.930830608651,714.4100198138054,1035.7447616498669,711.0518612012131,947.7034600669194,845.1627970175873,1050.8412196196502,847.6211015579759,934.6376431119696
6,291.4360372328789,974.7165211853431,366.92299015655317,1036.542632294262,370.44001367219244,928.064978807661,457.87011249477746,1074.020134605615,458.82453144604267,897.366160351419,548.7965437215698,1066.7844737863647,553.1726109935031,904.937484371233,551.9174768028705,1030.0855346500305,548.0475773209868,950.3193193109136,714.0384745008769,1035.84886403753,710.7838377437913,947.9493171655458,845.5879930960031,1051.0004783254788,847.4110496431705,934.5025083162083
7,290.96759186299477,975.3502517688985,366.8771846954782,1036.4519960962614,370.54622563336073,928.163869214531,458.2654528872089,1074.1642807197431,459.3570263767118,897.0848741608452,548.6692562524921,1066.963953470851,554.7577549174175,905.8216214372691,551.9337567303363,1030.1658346721306,548.4198753545436,950.6584027897866,714.2733126219908,1035.8953225095863,710.9606842318808,947.8432935831041,845.8606674829291,1050.8198712171657,847.3983618806955,934.5161261968452
8,291.3119722652807,975.5568622754481,367.15929688650857,1036.6477581755719,370.7365728757781,928.2652687448339,458.5016424231163,1074.211939265849,459.92060920506987,897.1942544526515,548.8711045839386,1066.87262945014,554.5988598787583,905.6046713913828,552.0361809798737,1029.9633289031647,548.4131249773797,950.6567358707874,714.1982320877293,1035.8748526366471,710.8589879248015,947.8845737087298,845.2999395015801,1050.9245655696066,847.2453827975785,934.4524469312547
9,291.3750119482122,975.3595980855142,367.25014437314593,1036.6197901942292,370.83140964780887,928.2618044055096,458.678577309002,1074.2341877238705,459.8928395731396,897.348455895754,548.9886133816524,1066.8800612988498,554.3567717989957,905.954808803449,552.042172609287,1029.9395151019185,546.9312410639848,948.8534342410546,714.1783037421296,1035.881980430721,710.8391814610118,947.8964614377663,845.2621588192308,1050.905057639431,847.2841787152234,934.5051452502182
