FrameNo,head_x,head_y,leftShoulder_x,leftShoulder_y,rightShoulder_x,rightShoulder_y,leftElbow_x,leftElbow_y,rightElbow_x,rightElbow_y,leftWrist_x,leftWrist_y,rightWrist_x,rightWrist_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,leftKnee_x,leftKnee_y,rightKnee_x,rightKnee_y,leftAnkle_x,leftAnkle_y,rightAnkle_x,rightAnkle_y
0,192.12502455990398,1060.5944781124724,272.86578590135116,1113.6467162727172,262.75607985854924,978.3848969783966,398.6689029589431,1149.8796394622825,380.0534732382071,944.1777044179946,320.9024565737641,1124.2085790809335,473.29243802590236,939.0272872891171,487.22397356566586,1090.1257633654884,486.937918297181,998.7871265061019,669.281202348528,1077.454831293626,671.4518905957126,995.9230213039154,807.2993870550386,1074.2912450561973,793.6326645254624,997.2990491476066
1,192.4921151596486,1061.8976630295663,276.42673809909695,1112.9981341001132,263.69080753103185,977.6402934100329,394.56587705872613,1148.8185786710428,374.25875225984845,945.1460787445899,321.84680219434483,1124.4674772308822,472.6596986549883,938.979174006432,498.21443004632954,1088.0017022575025,483.6040489881339,998.8281469744502,666.5051211244263,1076.756912220234,655.9064858663531,996.380655819839,804.0721211352801,1075.3599836474216,788.3113582794625,998.6675681198984
2,192.66365376188477,1061.8447023625763,276.67415013703936,1112.4965441813808,266.20912613887316,974.760556974278,394.8548749023358,1148.6920273645585,373.80723573761577,944.37383916604,322.4160438210198,1124.2184356308264,472.146223983467,939.6333677360541,497.6959287546701,1090.0493837646663,479.0899565936065,995.0485102242184,666.4773488137749,1076.0656520779041,668.8266260571226,995.232460756323,801.9653682683937,1074.392943259638,790.9440535903751,995.396571891611
3,192.48225210857018,1061.8584103833045,275.0064336307957,1112.1234025471706,263.18736734873914,976.967876582878,394.5187456307082,1148.0433066183816,377.11919612165235,944.5204580784896,321.9043330873407,1124.3713112073642,473.8743098225488,939.904241400725,498.3530833290209,1089.126136662065,486.1369666259527,997.442708572511,669.8764459860495,1076.4425809413174,669.4981225042255,996.1299318289775,800.9853353860009,1074.5594992767267,789.8721593254098,995.4150134443274
4,192.72308855590026,1061.4512099210697,275.0624075171541,1112.4458935223986,263.4324067094701,977.7075042836725,394.10710655976334,1148.633935439245,377.0183295484327,944.3823237702919,321.6794517725435,1123.9221660045034,474.0586701233148,940.9985313443557,496.9405508351419,1089.8939284325347,482.54664124686013,998.6502238882543,671.2020811023885,1079.7562487488017,667.9107954226172,996.6402942621035,802.4422288406034,1074.654252657025,789.6595157479434,995.6466432076706
5,192.66284478811355,1061.438049467761,274.54996884101695,1113.2844466098,263.55984686565023,977.481379120075,399.32549265798264,1149.588259683647,375.96107215038046,943.8772372232476,321.53012110756026,1124.262417941125,474.33447928360437,940.0697823327574,497.5115778294279,1089.7632791153392,483.0915828551055,997.4283897517623,671.4609553879042,1079.9026601372354,668.2476178133286,996.2575863425475,802.4565841069611,1074.209011730948,790.4235054209576,995.664342954525
6,192.7630497172223,1061.5142891496355,274.7543050346821,1113.2128693232373,263.779302430866,977.6383728879415,399.35195909209926,1149.6457424906578,377.53190768555635,943.7366987308276,321.52704325702007,1124.159902086335,473.98628036439493,940.2698011769695,497.1591719787359,1089.800519081357,482.7511361547502,997.3270305826943,670.779728486417,1079.9861991484318,668.2453917960971,996.1299600818419,802.486729094824,1074.1728884257611,790.5890001587192,995.7545963934816
7,192.6745829439597,1061.4777985572116,274.9186639946986,1113.3641452495008,263.4579315731212,977.9871921693465,399.30484474092833,1149.7084418191007,376.5087698277943,943.9035789831696,321.1135344387496,1124.2040885572133,474.12926112101815,940.3341329491901,497.73232453821225,1089.9040268134931,484.2330214075056,997.6821166184964,667.3654292370779,1076.880439797541,668.6848199197002,996.012691186685,802.6557845226034,1074.2219327075968,790.6843137431051,995.7280788940161
8,192.66833415732117,1061.4560263617611,274.92285150545314,1113.5385145289683,263.4348677844778,977.9904822826736,399.85323386322534,1149.7293230402918,376.2188575357702,944.066773582083,320.91930305074186,1124.1024236517912,474.2154958499268,940.459237305405,498.00427232204083,1089.753159208389,484.25028375593365,997.9061645238738,667.1758909684319,1076.8737499228653,668.7870131295431,996.0534876501797,802.6010756622829,1074.2498559552375,790.8425478073337,995.6914199616085
9,192.64088731128308,1061.3506902656864,274.4074957020416,1113.566646982343,263.4248875393514,978.1729204456742,400.3108434714328,1149.6376292097666,376.18928311550104,944.2285992624478,320.8660607902219,1124.3454033307169,474.1473692756325,940.6304960790407,498.0378246431388,1089.8002769139478,484.4180179045321,997.9595678190726,667.1574379284763,1076.8671212627291,668.8544151097807,996.0418999396555,802.6076137507999,1074.2564254188958,790.8032536475648,995.6844557987076
10,192.58949068959885,1061.408627472933,274.0725008687985,1113.124708950651,263.5283230061029,978.3347858145867,400.0461235468037,1149.1233453463317,376.60240217985194,944.3584823888685,320.58416825432147,1124.440602029973,474.15607377983656,940.6558261173426,498.3004652105165,1090.1487934860913,484.583833419145,998.3340945163254,668.1213201316962,1076.9825241234616,668.9690536578393,996.0673187726741,802.5721695829275,1074.2808385844796,790.8382002429937,995.6807503010052
11,192.59565978428475,1061.533511860418,274.35513708464345,1113.2395857699562,263.54040805633105,978.3156734245127,400.01424810511236,1149.1093798545596,376.8685639261114,944.2335704212063,320.5847468580784,1124.6458970966103,474.14901133166484,940.6582646086144,498.2083292590316,1090.0551984732333,484.60158061609155,998.2830859877274,668.1268898625367,1077.0022365505604,668.9718073831267,996.044548982036,802.5630451891915,1074.29122487558,790.8625558448861,995.6875483101559
12,191.53796943793526,1061.00188577289,275.65182761501114,1111.2772336310977,264.07444961359346,977.991160351419,395.6576769001617,1147.7350032898892,380.9332044226915,945.7054935317983,321.54284235404896,1124.057043161049,469.1651556364736,945.4712140533874,499.41230858255886,1085.7818047427502,488.58833394838086,999.7118521752733,660.4223006785458,1077.2392444484467,672.9975716004291,996.4647397077058,812.3014393026403,1075.3320940341432,799.0367057512578,994.829714492697
13,191.7872887252986,1061.1177655583704,275.683508849423,1111.645997080358,264.3573125162112,978.0470283726925,398.445140679884,1151.2702569358933,381.7696257096428,944.808537064888,322.1752455454654,1124.2416978285298,468.8568321595111,944.2785314914499,502.135483055958,1085.9261647714227,488.43656028975744,1000.0400387934252,661.3523861273677,1077.3503616187259,670.8260000449628,995.8551902126338,812.5627030073744,1075.522204867888,798.5181093649994,994.9738054464707
14,191.79155257960443,1061.3171473887805,276.25124570452186,1111.2833396132426,264.22699842713433,978.2259194558374,396.94236140257357,1147.5327235438385,381.2648207189512,944.5294848686628,321.9113299068456,1123.8765931252083,469.19859946936714,942.9647702701297,501.496159388588,1085.930691956598,487.9277861040807,999.9426955672243,660.9855258976374,1077.3643972381435,673.9750021052763,996.8522896300688,812.4839044082304,1075.425019050503,798.4450017088255,994.9153497655282
